Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Lab Dup,Result,Rpt Limit,Units,Method,Depth,Matrix,Sample Type,Parent Sample,Description,Notes
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0110B0008,1/11/2010 8:00,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0110B0008,1/11/2010 8:00,Dissolved Nitrate + Nitrite,NO3+NO2,,0.55,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0110B0008,1/11/2010 8:00,Total Phosphorus,7723-14-0,,0.06,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0110B0008,1/11/2010 8:00,Total Kjeldahl Nitrogen,TKN,,0.2,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0110B0008,1/11/2010 8:00,Dissolved ortho-Phosphate,14265-44-2,,0.04,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0110B0009,1/11/2010 10:00,Dissolved Ammonia,7664-41-7,,0.02,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0110B0009,1/11/2010 10:00,Dissolved Nitrate + Nitrite,NO3+NO2,,0.79,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0110B0009,1/11/2010 10:00,Total Phosphorus,7723-14-0,,0.05,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0110B0009,1/11/2010 10:00,Total Kjeldahl Nitrogen,TKN,,0.2,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0110B0009,1/11/2010 10:00,Dissolved ortho-Phosphate,14265-44-2,,0.04,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0110B0010,1/12/2010 12:00,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0110B0010,1/12/2010 12:00,Dissolved Nitrate,14797-55-8,,8.9,0.1,mg/L,EPA 300.0 28d Hold [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0110B0010,1/12/2010 12:00,Dissolved Nitrate + Nitrite,NO3+NO2,,1.9,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0110B0010,1/12/2010 12:00,Total Phosphorus,7723-14-0,,0.02,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0110B0010,1/12/2010 12:00,Total Kjeldahl Nitrogen,TKN,,0.1,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0110B0010,1/12/2010 12:00,Dissolved ortho-Phosphate,14265-44-2,,0.01,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0210B0029,2/16/2010 8:00,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0210B0029,2/16/2010 8:00,Dissolved Nitrate,14797-55-8,,2.6,0.1,mg/L,EPA 300.0 28d Hold [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0210B0029,2/16/2010 8:00,Dissolved Nitrate + Nitrite,NO3+NO2,,0.55,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0210B0029,2/16/2010 8:00,Total Phosphorus,7723-14-0,,0.04,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0210B0029,2/16/2010 8:00,Total Kjeldahl Nitrogen,TKN,,0.2,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0210B0029,2/16/2010 8:00,Dissolved ortho-Phosphate,14265-44-2,,0.04,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0210B0031,2/17/2010 8:00,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0210B0031,2/17/2010 8:00,Dissolved Nitrate,14797-55-8,,8,0.1,mg/L,EPA 300.0 28d Hold [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0210B0031,2/17/2010 8:00,Dissolved Nitrate + Nitrite,NO3+NO2,,1.7,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0210B0031,2/17/2010 8:00,Total Phosphorus,7723-14-0,,0.02,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0210B0031,2/17/2010 8:00,Total Kjeldahl Nitrogen,TKN,,0.2,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0210B0031,2/17/2010 8:00,Dissolved ortho-Phosphate,14265-44-2,,0.01,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0210B0030,2/18/2010 8:00,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0210B0030,2/18/2010 8:00,Dissolved Nitrate,14797-55-8,,4.9,0.1,mg/L,EPA 300.0 28d Hold [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0210B0030,2/18/2010 8:00,Dissolved Nitrate + Nitrite,NO3+NO2,,0.82,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0210B0030,2/18/2010 8:00,Total Phosphorus,7723-14-0,,0.02,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0210B0030,2/18/2010 8:00,Total Kjeldahl Nitrogen,TKN,,0.1,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0210B0030,2/18/2010 8:00,Dissolved ortho-Phosphate,14265-44-2,,0.02,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0310B0043,3/15/2010 9:00,Dissolved Ammonia,7664-41-7,,0.02,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0310B0043,3/15/2010 9:00,Dissolved Nitrate + Nitrite,NO3+NO2,,0.55,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0310B0043,3/15/2010 9:00,Total Phosphorus,7723-14-0,,0.04,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0310B0043,3/15/2010 9:00,Total Kjeldahl Nitrogen,TKN,,0.2,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0310B0043,3/15/2010 9:00,Dissolved ortho-Phosphate,14265-44-2,,0.04,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0310B0044,3/15/2010 10:00,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0310B0044,3/15/2010 10:00,Dissolved Nitrate + Nitrite,NO3+NO2,,0.87,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0310B0044,3/15/2010 10:00,Total Phosphorus,7723-14-0,,0.03,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0310B0044,3/15/2010 10:00,Total Kjeldahl Nitrogen,TKN,,0.2,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
PYRAMID LK A ANGELES Tunnel INtake Outlet,Pyramid TU Outlet,PY001000,SA0310B0044,3/15/2010 10:00,Dissolved ortho-Phosphate,14265-44-2,,0.03,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0310B0045,3/17/2010 8:00,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0310B0045,3/17/2010 8:00,Dissolved Nitrate,14797-55-8,,3.2,0.1,mg/L,EPA 300.0 28d Hold [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0310B0045,3/17/2010 8:00,Dissolved Nitrate + Nitrite,NO3+NO2,,0.49,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0310B0045,3/17/2010 8:00,Total Phosphorus,7723-14-0,,0.05,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0310B0045,3/17/2010 8:00,Total Kjeldahl Nitrogen,TKN,,0.3,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQUEDUCT AT CHECK 41,Check 41,KA030341,SA0310B0045,3/17/2010 8:00,Dissolved ortho-Phosphate,14265-44-2,,0.02,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0410B0057,4/19/2010 8:00,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0410B0057,4/19/2010 8:00,Dissolved Nitrate + Nitrite,NO3+NO2,,0.54,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0410B0057,4/19/2010 8:00,Total Phosphorus,7723-14-0,,0.03,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Castaic Lake Outlet Tower,Castaic Tower Outlet,CA002000,SA0410B0057,4/19/2010 8:00,Total Kjeldahl Nitrogen,TKN,,0.3,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
