Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Lab Dup,Result,Rpt Limit,Units,Method,Depth,Matrix,Sample Type,Parent Sample,Description,Notes
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OD0110B0015,1/21/2010 8:15,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OD0110B0015,1/21/2010 8:15,Dissolved Nitrate,14797-55-8,,0.2,0.1,mg/L,EPA 300.0 28d Hold [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OD0110B0015,1/21/2010 8:15,Dissolved Nitrate + Nitrite,NO3+NO2,,0.04,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OD0110B0015,1/21/2010 8:15,Total Phosphorus,7723-14-0,,0.01,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OD0110B0015,1/21/2010 8:15,Total Kjeldahl Nitrogen,TKN,,0.2,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OD0110B0015,1/21/2010 8:15,Dissolved ortho-Phosphate,14265-44-2,,<0.01,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0210B0010,2/17/2010 8:50,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0210B0010,2/17/2010 8:50,Dissolved Nitrate,14797-55-8,,0.1,0.1,mg/L,EPA 300.0 28d Hold [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0210B0010,2/17/2010 8:50,Dissolved Nitrate + Nitrite,NO3+NO2,,0.01,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0210B0010,2/17/2010 8:50,Total Phosphorus,7723-14-0,,0.01,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0210B0010,2/17/2010 8:50,Total Kjeldahl Nitrogen,TKN,,0.2,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0210B0010,2/17/2010 8:50,Dissolved ortho-Phosphate,14265-44-2,,<0.01,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0310B0012,3/16/2010 8:15,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0310B0012,3/16/2010 8:15,Dissolved Nitrate,14797-55-8,,<0.1,0.1,mg/L,EPA 300.0 28d Hold [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0310B0012,3/16/2010 8:15,Dissolved Nitrate + Nitrite,NO3+NO2,,<0.01,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0310B0012,3/16/2010 8:15,Total Phosphorus,7723-14-0,,0.01,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0310B0012,3/16/2010 8:15,Total Kjeldahl Nitrogen,TKN,,0.1,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OC0310B0012,3/16/2010 8:15,Dissolved ortho-Phosphate,14265-44-2,,<0.01,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OA0410B0032,4/19/2010 11:15,Dissolved Ammonia,7664-41-7,,0.02,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.15 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OA0410B0032,4/19/2010 11:15,Dissolved Nitrate,14797-55-8,,0.2,0.1,mg/L,EPA 300.0 28d Hold [1]*,0.15 Meters,"Water, Natural",Normal Sample,0,,
THERMALITO AFTERBAY A FEATHER R,TAB River Outlet,TA001000,OA0410B0032,4/19/2010 11:15,Dissolved Nitrate + Nitrite,NO3+NO2,,0.04,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.15 Meters,"Water, Natural",Normal Sample,0,,
