Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Lab Dup,Result,Rpt Limit,Units,Method,Depth,Matrix,Sample Type,Parent Sample,Description,Notes
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0110B2628,1/11/2010 12:15,Dissolved Ammonia,7664-41-7,,0.09,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0110B2628,1/11/2010 12:15,Dissolved Nitrate,14797-55-8,,3.9,0.333,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0110B2628,1/11/2010 12:15,Dissolved Nitrate + Nitrite,NO3+NO2,,0.55,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0110B2628,1/11/2010 12:15,Total Phosphorus,7723-14-0,,0.1,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0110B2628,1/11/2010 12:15,Total Kjeldahl Nitrogen,TKN,,0.6,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0110B2628,1/11/2010 12:15,Dissolved ortho-Phosphate,14265-44-2,,0.03,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0210B2568,2/16/2010 13:35,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0210B2568,2/16/2010 13:35,Dissolved Nitrate,14797-55-8,,4.3,0.1,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0210B2568,2/16/2010 13:35,Dissolved Nitrate + Nitrite,NO3+NO2,,0.92,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0210B2568,2/16/2010 13:35,Total Phosphorus,7723-14-0,,0.07,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0210B2568,2/16/2010 13:35,Total Kjeldahl Nitrogen,TKN,,0.6,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0210B2568,2/16/2010 13:35,Dissolved ortho-Phosphate,14265-44-2,,0.03,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0310B2659,3/15/2010 12:35,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0310B2659,3/15/2010 12:35,Dissolved Nitrate,14797-55-8,,3.9,0.1,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0310B2659,3/15/2010 12:35,Dissolved Nitrate + Nitrite,NO3+NO2,,0.73,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0310B2659,3/15/2010 12:35,Total Phosphorus,7723-14-0,,0.16,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0310B2659,3/15/2010 12:35,Total Kjeldahl Nitrogen,TKN,,1.1,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0310B2659,3/15/2010 12:35,Dissolved ortho-Phosphate,14265-44-2,,0.04,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0410B2685,4/19/2010 14:30,Dissolved Ammonia,7664-41-7,,0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0410B2685,4/19/2010 14:30,Dissolved Nitrate,14797-55-8,,1.7,0.1,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0410B2685,4/19/2010 14:30,Dissolved Nitrate + Nitrite,NO3+NO2,,0.38,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0410B2685,4/19/2010 14:30,Total Phosphorus,7723-14-0,,0.05,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0410B2685,4/19/2010 14:30,Total Kjeldahl Nitrogen,TKN,,0.6,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0410B2685,4/19/2010 14:30,Dissolved ortho-Phosphate,14265-44-2,,0.02,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0510B2711,5/18/2010 13:50,Dissolved Ammonia,7664-41-7,,0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0510B2711,5/18/2010 13:50,Dissolved Nitrate,14797-55-8,,0.8,0.1,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0510B2711,5/18/2010 13:50,Dissolved Nitrate + Nitrite,NO3+NO2,,0.19,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0510B2711,5/18/2010 13:50,Total Phosphorus,7723-14-0,,0.05,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0510B2711,5/18/2010 13:50,Total Kjeldahl Nitrogen,TKN,,0.3,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
South Bay Aqueduct Del Valle Check 7,Del Valle Check,KB001638,DA0510B2711,5/18/2010 13:50,Dissolved ortho-Phosphate,14265-44-2,,0.05,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Del Valle Conserv. Outlet Works,Del Valle COW,DV000000,DA0510B2714,5/18/2010 14:15,Dissolved Ammonia,7664-41-7,,<0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Del Valle Conserv. Outlet Works,Del Valle COW,DV000000,DA0510B2714,5/18/2010 14:15,Dissolved Nitrate,14797-55-8,,0.5,0.1,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Del Valle Conserv. Outlet Works,Del Valle COW,DV000000,DA0510B2714,5/18/2010 14:15,Dissolved Nitrate + Nitrite,NO3+NO2,,0.11,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
