"long_station_name","short_station_name","station_number","sample_code","collection_date","analyte","result","rpt_limit","units","method","sample_type","description","notes"
"Three Mile Slough at San Joaquin River","Three Mile Slough","B9D80621412","CF0115B0004",2015-01-02,"Dissolved Nitrate + Nitrite","0.62",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"False River near Oakley","False R Nr Oakley","B9D80331400","CF0115B0003",2015-01-02,"Dissolved Nitrate + Nitrite","0.7",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Fisherman's Cut","Fisherman's Cut","B9D80411389","CF0115B0007",2015-01-02,"Dissolved Nitrate + Nitrite","0.75",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Holland Cut near Bethel Island","Holland Cut Nr BI","B9D80101349","CF0115B0005",2015-01-02,"Dissolved Nitrate + Nitrite","0.65",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Old River near Frank's Tract","OR Nr Franks Tract","B9D80431347","CF0115B0002",2015-01-02,"Dissolved Nitrate + Nitrite","0.72",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Old River near Frank's Tract","OR Nr Franks Tract","B9D80431347","CF0115B0008",2015-01-02,"Dissolved Nitrate + Nitrite","0.83",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Replicate (Split) Sample",NA,NA
"Old River Downstream DMC Barrier","OR@DMC-DS","B9536500","CF0118B0003",2018-01-02,"Dissolved Nitrate + Nitrite","1.05",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Old River Upstream of Mountain House Creek","OR up Mtn House Crk","B9537000","CF0118B0004",2018-01-02,"Dissolved Nitrate + Nitrite","1.2",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Victoria Canal near Byron","Victoria Canal","B9D75231318","CF0118B0005",2018-01-02,"Dissolved Nitrate + Nitrite","0.51",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Grant Line Canal near Old River","GLC n. OR","B9D72921327","CF0118B0006",2018-01-02,"Dissolved Nitrate + Nitrite","0.41",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Duplicate Sample",NA,NA
"Grant Line Canal near Old River","GLC n. OR","B9D72921327","CF0118B0002",2018-01-02,"Dissolved Nitrate + Nitrite","0.81",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Grant Ln Can @ Tracy Rd Bdg","GLC@Tracy","B9D74921269","CF0118B0001",2018-01-02,"Dissolved Nitrate + Nitrite","0.8",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Old River near Doughty Cut - ORX","OR Nr DOUGHTY CUT","B9D74871232","CF0120B0002",2020-01-02,"Dissolved Nitrate","8",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample",NA,NA
"Grant Line Canal East","GLC-East","B9D74921261","CF0120B0009",2020-01-02,"Dissolved Nitrate","7.9",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Duplicate, Specific Analyte(s)",NA,NA
"Grant Line Canal East","GLC-East","B9D74921261","CF0120B0003",2020-01-02,"Dissolved Nitrate","7.9",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample",NA,NA
"Sugar Cut downstream of Tom Paine Slough","SUGAR CUT","B9D74761253","CF0120B0006",2020-01-02,"Dissolved Nitrate","7.5",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample",NA,NA
"Grant Line Canal East","GLC-East","B9D74921261","CF0118B0013",2018-01-04,"Dissolved Nitrate + Nitrite","0.87",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
