Project,Station_Name,Station_Number,Latitude,Longitude,Sample_Code,Date,Date_Time,Result_DissNitrateNitrite,Result_DissNitrate,Detection_Condition_DissNitrateNitrite,Detection_Condition_DissNitrate,Reporting_Limit_DissNitrateNitrite,Reporting_Limit_DissNitrate,Units_DissNitrateNitrite,Units_DissNitrate,Method_DissNitrateNitrite,Method_DissNitrate
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0818B1227,2018-08-17,2018-08-17T17:45:00Z,NA,0.62,Not Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0918B1328,2018-09-18,2018-09-18T19:30:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF1018B1568,2018-10-11,2018-10-11T18:30:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF1118B1674,2018-11-08,2018-11-08T20:31:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF1218B1748,2018-12-06,2018-12-06T19:30:00Z,0.055,0.31,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0119B0077,2019-01-23,2019-01-23T19:56:00Z,0.28,1.24,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0219B0163,2019-02-20,2019-02-20T19:59:00Z,0.29,1.1,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0319B0251,2019-03-26,2019-03-26T20:15:00Z,0.249,1.04,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0419B0378,2019-04-25,2019-04-25T19:45:00Z,0.122,0.5,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0519B0474,2019-05-22,2019-05-22T20:28:00Z,0.153,0.7,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0619B0606,2019-06-26,2019-06-26T19:57:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0819B0742,2019-08-01,2019-08-01T18:29:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0919B0880,2019-09-10,2019-09-10T19:58:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF1019B1016,2019-10-18,2019-10-18T20:01:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF1219B1130,2019-12-03,2019-12-03T20:02:00Z,0.141,0.541,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0120B0022,2020-01-08,2020-01-08T20:00:00Z,0.495,2.1,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0220B0126,2020-02-11,2020-02-11T20:00:00Z,0.34,1.4,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0320B0281,2020-03-12,2020-03-12T19:30:00Z,0.157,0.7,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0420B0357,2020-04-13,2020-04-13T18:59:00Z,NA,0.2,Not Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0520B0490,2020-05-14,2020-05-14T20:15:00Z,NA,0.127,Not Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0620B0624,2020-06-18,2020-06-18T20:05:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
Rock Slough Water Quality Monitoring Program,RSCC,B9522200,37.976192,-121.639803,CF0820B0775,2020-08-13,2020-08-13T19:29:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Check No. 7,KB001638,37.6547,-121.7419,DA0110B2628,2010-01-11,2010-01-11T20:15:00Z,0.55,3.9,Detected,Detected,0.01,0.333,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SLA0110B0005,2010-01-12,2010-01-12T16:15:00Z,0.69,3.7,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SLA0110B0011,2010-01-12,2010-01-12T18:25:00Z,1.2,5.6,Detected,Detected,0.01,0.333,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,DA0110B2627,2010-01-12,2010-01-12T18:45:00Z,0.6,3.7,Detected,Detected,0.01,0.333,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 29,KA024454,35.232,-119.3299,SJC0110B0777,2010-01-12,2010-01-12T18:50:00Z,1.2,5.8,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SLA0110B0010,2010-01-12,2010-01-12T19:05:00Z,0.95,4.6,Detected,Detected,0.01,0.333,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,SA0110B0010,2010-01-12,2010-01-12T20:00:00Z,1.9,8.9,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pacheco Pumping Plant,SL000000,37.0619,-121.1806,SLA0110B0006,2010-01-12,2010-01-12T20:15:00Z,0.53,2.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,DA0110B2626,2010-01-13,2010-01-13T17:00:00Z,0.91,4.3,Detected,Detected,0.01,0.333,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,DA0110B2629,2010-01-13,2010-01-13T19:30:00Z,0.4,1.9,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OD0110B0015,2010-01-21,2010-01-21T16:15:00Z,0.04,0.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Castaic Lake - Outlet,CA002000,34.5152,-118.6101,SA0210B0029,2010-02-16,2010-02-16T16:00:00Z,0.55,2.6,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Perris - Outlet,PE002000,33.8397,-117.1763,SA0210B0022,2010-02-16,2010-02-16T16:00:00Z,0.01,NA,Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 29,KA024454,35.232,-119.3299,SJB0210B0780,2010-02-16,2010-02-16T17:45:00Z,0.24,1.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pacheco Pumping Plant,SL000000,37.0619,-121.1806,SLA0210B0371,2010-02-16,2010-02-16T18:15:00Z,0.71,3.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SLA0210B0375,2010-02-16,2010-02-16T19:35:00Z,1.4,6.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SLA0210B0376,2010-02-16,2010-02-16T20:15:00Z,1.2,5.8,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Check No. 7,KB001638,37.6547,-121.7419,DA0210B2568,2010-02-16,2010-02-16T21:35:00Z,0.92,4.3,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SLA0210B0370,2010-02-16,2010-02-16T22:50:00Z,0.65,3.6,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,DA0210B2567,2010-02-16,2010-02-16T23:30:00Z,1.2,5.9,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,SA0210B0031,2010-02-17,2010-02-17T16:00:00Z,1.7,8,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,DA0210B2566,2010-02-17,2010-02-17T16:25:00Z,1,5.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OC0210B0010,2010-02-17,2010-02-17T16:50:00Z,0.01,0.1,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,DA0210B2569,2010-02-17,2010-02-17T19:30:00Z,0.15,0.7,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pyramid Lake - Outlet,PY001000,34.6449,-118.767,SA0210B0030,2010-02-18,2010-02-18T16:00:00Z,0.82,4.9,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Silverwood Lake - Outlet,SI002000,34.2803,-117.3299,SA0210B0023,2010-02-18,2010-02-18T16:00:00Z,0.61,3.5,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Check No. 7,KB001638,37.6547,-121.7419,DA0310B2659,2010-03-15,2010-03-15T20:35:00Z,0.73,3.9,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,DA0310B2658,2010-03-15,2010-03-15T21:55:00Z,1.4,6.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
