"sample_code","collection_date","station_number","rpt_limit_field_specific_conductance","rpt_limit_dissolved_nitrate_nitrite","rpt_limit_total_kjeldahl_nitrogen","rpt_limit_dissolved_nitrate","result_field_specific_conductance","result_dissolved_nitrate_nitrite","result_total_kjeldahl_nitrogen","result_dissolved_nitrate","method_field_specific_conductance","method_dissolved_nitrate_nitrite","method_total_kjeldahl_nitrogen","method_dissolved_nitrate","nitrate_as_N","nitrate_RL_as_N","total_nitrogen","tn_vs_no3","difference"
"CF0120B0028",2020-01-08,"B9522200",NA,0.05,0.1,0.1,NA,0.496,0.4,2.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.488372093023256,0.0232558139534884,0.896,"greater",0.407627906976744
"CF0120B0022",2020-01-08,"B9522200",1,0.05,0.1,0.1,458.5,0.495,0.3,2.1,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.488372093023256,0.0232558139534884,0.795,"greater",0.306627906976744
"CF0119B0077",2019-01-23,"B9522200",1,0.05,0.1,0.1,745,0.28,0.6,1.24,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.288372093023256,0.0232558139534884,0.88,"greater",0.591627906976744
"CF0119B0083",2019-01-23,"B9522200",NA,0.05,0.1,0.1,NA,0.29,0.5,1.22,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.283720930232558,0.0232558139534884,0.79,"greater",0.506279069767442
"CF0220B0126",2020-02-11,"B9522200",1,0.05,0.1,0.1,352,0.34,0.3,1.4,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.325581395348837,0.0232558139534884,0.64,"greater",0.314418604651163
"CF0220B0132",2020-02-11,"B9522200",NA,0.05,0.1,0.1,NA,0.33,0.313,1.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.325581395348837,0.0232558139534884,0.643,"greater",0.317418604651163
"CF0219B0169",2019-02-20,"B9522200",NA,0.05,0.1,0.5,NA,0.29,0.5,1.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.255813953488372,0.116279069767442,0.79,"greater",0.534186046511628
"CF0219B0163",2019-02-20,"B9522200",1,0.05,0.1,0.5,622,0.29,0.7,1.1,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.255813953488372,0.116279069767442,0.99,"greater",0.734186046511628
"CF0320B0281",2020-03-12,"B9522200",1,0.05,0.1,0.1,370.7,0.157,0.5,0.7,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.162790697674419,0.0232558139534884,0.657,"greater",0.494209302325581
"CF0320B0287",2020-03-12,"B9522200",NA,0.05,0.1,0.1,NA,0.157,0.5,0.7,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.162790697674419,0.0232558139534884,0.657,"greater",0.494209302325581
"CF0319B0254",2019-03-26,"B9522200",NA,0.05,0.1,0.1,NA,0.25,0.495,1.04,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.241860465116279,0.0232558139534884,0.745,"greater",0.503139534883721
"CF0319B0251",2019-03-26,"B9522200",1,0.05,0.1,0.1,573,0.249,0.6,1.04,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.241860465116279,0.0232558139534884,0.849,"greater",0.607139534883721
"CF0419B0378",2019-04-25,"B9522200",1,0.05,0.1,0.1,315.8,0.122,0.3,0.5,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.116279069767442,0.0232558139534884,0.422,"greater",0.305720930232558
"CF0419B0384",2019-04-25,"B9522200",NA,0.05,0.1,0.1,NA,0.127,0.5,0.5,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.116279069767442,0.0232558139534884,0.627,"greater",0.510720930232558
"CF0519B0477",2019-05-22,"B9522200",NA,0.05,0.1,0.1,NA,0.157,0.4,0.7,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.162790697674419,0.0232558139534884,0.557,"greater",0.394209302325581
"CF0519B0474",2019-05-22,"B9522200",1,0.05,0.1,0.1,231.7,0.153,0.3,0.7,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.162790697674419,0.0232558139534884,0.453,"greater",0.290209302325581
"CF0618B1009",2018-06-28,"B9D75351292",NA,0.01,0.1,0.1,NA,0.33,0.4,1.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.325581395348837,0.0232558139534884,0.73,"greater",0.404418604651163
"CF0618B1005",2018-06-28,"B9D75351292",1,0.01,0.1,0.1,263.3,0.3,0.3,1.4,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.325581395348837,0.0232558139534884,0.6,"greater",0.274418604651163
"CF0718B1106",2018-07-18,"B9D75351292",1,0.01,0.1,0.1,216,0.17,0.3,0.8,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.186046511627907,0.0232558139534884,0.47,"greater",0.283953488372093
"CF0818B1211",2018-08-14,"B9D75351292",1,0.01,0.1,0.1,210,0.112,0.3,0.5,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.116279069767442,0.0232558139534884,0.412,"greater",0.295720930232558
"CF0818B1295",2018-08-30,"B9D75351292",1,0.01,0.1,0.1,301,0.106,0.3,0.4,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.0930232558139535,0.0232558139534884,0.406,"greater",0.312976744186046
"CF0917B2844",2017-09-27,"B9D74921269",1,0.01,0.1,0.1,339,1.27,0.4,5.5,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",1.27906976744186,0.0232558139534884,1.67,"greater",0.390930232558139
"CF0917B2845",2017-09-27,"B9D72921327",1,0.01,0.1,0.1,320,1.24,0.3,5.4,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",1.25581395348837,0.0232558139534884,1.54,"greater",0.284186046511628
"CF0917B2846",2017-09-27,"B9536500",1,0.01,0.1,0.1,451,0.82,0.4,3.5,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.813953488372093,0.0232558139534884,1.22,"greater",0.406046511627907
"CF0917B2847",2017-09-27,"B9537000",1,0.01,0.1,0.1,417,0.81,0.4,3.5,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.813953488372093,0.0232558139534884,1.21,"greater",0.396046511627907
"CF0917B2849",2017-09-27,"B9537000",NA,0.01,0.1,0.1,NA,0.8,0.4,3.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.790697674418605,0.0232558139534884,1.2,"greater",0.409302325581396
"CF0917B2848",2017-09-27,"B9D75231318",1,0.01,0.1,0.1,209,0.36,0.3,1.6,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.372093023255814,0.0232558139534884,0.66,"greater",0.287906976744186
"CF1018B1494",2018-10-03,"B9D75351292",1,0.01,0.1,0.1,367,0.28,0.2,1.1,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.255813953488372,0.0232558139534884,0.48,"greater",0.224186046511628
"CF1018B1604",2018-10-23,"B9D75351292",1,0.01,0.1,0.1,413.1,0.71,0.3,3,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.697674418604651,0.0232558139534884,1.01,"greater",0.312325581395349
"CF1018B1608",2018-10-23,"B9D75351292",NA,0.01,0.1,0.1,NA,0.51,0.3,3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.697674418604651,0.0232558139534884,0.81,"greater",0.112325581395349
"CF1118B1703",2018-11-27,"B9D75351292",NA,0.05,0.1,0.1,NA,0.56,0.3,2.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.558139534883721,0.0232558139534884,0.86,"greater",0.301860465116279
"CF1118B1699",2018-11-27,"B9D75351292",1,0.05,0.1,0.1,410,0.56,0.25,2.4,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.558139534883721,0.0232558139534884,0.81,"greater",0.251860465116279
"CF1219B1133",2019-12-03,"B9522200",NA,0.05,0.1,0.1,NA,0.137,0.199,0.509,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.118372093023256,0.0232558139534884,0.336,"greater",0.217627906976744
"CF1219B1130",2019-12-03,"B9522200",1,0.05,0.1,0.1,187.7,0.141,0.207,0.541,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.125813953488372,0.0232558139534884,0.348,"greater",0.222186046511628
"CF1218B1754",2018-12-06,"B9522200",NA,0.05,0.1,0.1,NA,0.056,0.285,0.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.0697674418604651,0.0232558139534884,0.341,"greater",0.271232558139535
"CF1218B1748",2018-12-06,"B9522200",1,0.05,0.1,0.1,682,0.055,0.292,0.31,"EPA 120.1 (Field) [1]*","Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.072093023255814,0.0232558139534884,0.347,"greater",0.274906976744186
"SA0210B0029",2010-02-16,"CA002000",NA,0.01,0.1,0.1,NA,0.55,0.2,2.6,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.604651162790698,0.0232558139534884,0.75,"greater",0.145348837209302
"SA0210B0031",2010-02-17,"KA030341",NA,0.01,0.1,0.1,NA,1.7,0.2,8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",1.86046511627907,0.0232558139534884,1.9,"greater",0.0395348837209302
"SA0310B0045",2010-03-17,"KA030341",NA,0.01,0.1,0.1,NA,0.49,0.3,3.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.744186046511628,0.0232558139534884,0.79,"greater",0.045813953488372
"SA0410B0059",2010-04-21,"KA030341",NA,0.01,0.1,0.1,NA,0.64,0.5,2.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.674418604651163,0.0232558139534884,1.14,"greater",0.465581395348837
"SA0510B0079",2010-05-18,"CA002000",NA,0.01,0.1,0.1,NA,0.5,0.2,2.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.488372093023256,0.0232558139534884,0.7,"greater",0.211627906976744
"SA0510B0080",2010-05-19,"PY001000",NA,0.01,0.1,0.1,NA,0.8,0.3,3.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.790697674418605,0.0232558139534884,1.1,"greater",0.309302325581395
"SA0510B0081",2010-05-20,"KA030341",NA,0.01,0.1,0.1,NA,0.47,0.4,2.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.674418604651163,0.0232558139534884,0.87,"greater",0.195581395348837
"SA0610B0116",2010-06-16,"KA030341",NA,0.01,0.1,0.1,NA,0.54,0.6,2.5,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.581395348837209,0.0232558139534884,1.14,"greater",0.558604651162791
"SA0710B0164",2010-07-21,"KA030341",NA,0.01,0.1,0.1,NA,0.49,0.4,2.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.558139534883721,0.0232558139534884,0.89,"greater",0.331860465116279
"SA0810B0190",2010-08-16,"CA002000",NA,0.01,0.1,0.1,NA,0.23,0.3,1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.232558139534884,0.0232558139534884,0.53,"greater",0.297441860465116
"SA0810B0191",2010-08-17,"PY001000",NA,0.01,0.1,0.1,NA,0.28,0.4,1.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.302325581395349,0.0232558139534884,0.68,"greater",0.377674418604651
